gpu_name,year,shader_cores,memory_bandwidth,boost_clock,tdp,transistors,process_nm,die_size
vega 3 embedded,2019.4840764331211,192.0,40.0,1001.0,15.0,4.0,14.0,210.0
vega 3 embedded,2019.5031847133757,192.0,40.0,1001.0,15.0,4.0,14.0,210.0
vega 3 embedded,2019.5222929936306,192.0,40.0,1001.0,15.0,4.0,14.0,210.0
vega 3 mobile,2019.5414012738854,192.0,40.0,1101.0,15.0,4.0,14.0,210.0
vega 6 embedded,2019.56050955414,384.0,40.0,1280.0,15.0,4.0,14.0,210.0
vega 6 mobile,2019.5796178343949,384.0,40.0,1101.0,15.0,4.0,14.0,210.0
vega 8,2019.5987261146497,512.0,40.0,1100.0,25.0,4.0,14.0,210.0
vega 8 embedded,2019.6178343949045,512.0,40.0,1101.0,25.0,4.0,14.0,210.0
vega 8 embedded,2019.6369426751592,512.0,40.0,1100.0,15.0,4.0,14.0,210.0
zhongshan subor z gpu,2019.656050955414,1536.0,153.6,1250.0,100.0,29.0,14.0,397.0
540 mobile,2019.6751592356688,512.0,41.6,1250.0,50.0,2.0,14.0,103.0
540x mobile,2019.6942675159235,512.0,32.0,1095.0,50.0,2.0,14.0,103.0
550x,2019.7133757961783,512.0,112.0,1218.0,50.0,2.0,14.0,103.0
610 mobile,2019.7324840764331,320.0,32.0,1250.0,50.0,690.0,28.0,56.0
620 mobile,2019.751592356688,384.0,32.0,1250.0,50.0,1.0,28.0,125.0
625 mobile,2019.7707006369426,384.0,36.0,1024.0,50.0,1.0,28.0,125.0
625 oem,2019.7898089171974,384.0,36.0,1250.0,35.0,1.0,28.0,125.0
630 mobile,2019.8089171974523,512.0,96.0,1211.0,50.0,2.0,14.0,103.0
e9390 pcie,2019.8280254777071,1792.0,160.0,1089.0,75.0,5.0,14.0,232.0
e9560 pcie,2019.8471337579617,2304.0,224.0,1237.0,130.0,5.0,14.0,232.0
pro 5300m,2019.8662420382166,1280.0,192.0,1250.0,85.0,6.0,7.0,158.0
pro 5500m,2019.8853503184714,1536.0,192.0,1450.0,85.0,6.0,7.0,158.0
pro 570x,2019.904458598726,1792.0,217.0,1105.0,150.0,5.0,14.0,232.0
pro 575x,2019.9235668789809,2048.0,217.0,1250.0,150.0,5.0,14.0,232.0
pro 580x,2019.9426751592357,2304.0,218.9,1200.0,185.0,5.0,14.0,232.0
pro vega 48,2019.9617834394905,3072.0,402.4,1250.0,50.0,12.0,14.0,495.0
pro vega 64x,2019.9808917197452,4096.0,512.0,1468.0,250.0,12.0,14.0,495.0
pro vega ii,2020.0,4096.0,825.3,1720.0,475.0,13.0,7.0,331.0
pro vega ii duo,2020.0191082802548,4096.0,1.02,1720.0,475.0,13.0,7.0,331.0
pro w5300m,2020.0382165605095,1280.0,192.0,1250.0,85.0,6.0,7.0,158.0
pro w5500x,2020.0573248407643,1536.0,224.0,1757.0,125.0,6.0,7.0,158.0
pro w5700,2020.0764331210191,2304.0,448.0,1880.0,205.0,10.0,7.0,251.0
pro w5700x,2020.095541401274,2560.0,448.0,2040.0,205.0,10.0,7.0,251.0
pro wx 3200,2020.1146496815286,640.0,96.0,1250.0,65.0,2.0,14.0,103.0
pro wx 3200 mobile,2020.1337579617834,640.0,64.0,1250.0,65.0,2.0,14.0,103.0
r7 350 640sp,2020.1528662420383,640.0,72.0,1250.0,55.0,1.0,28.0,123.0
rx 5300 xt oem,2020.1719745222929,1408.0,112.0,1845.0,100.0,6.0,7.0,158.0
rx 5300m,2020.1910828025477,1408.0,168.0,1445.0,85.0,6.0,7.0,158.0
rx 5500 oem,2020.2101910828026,1408.0,224.0,1845.0,110.0,6.0,7.0,158.0
rx 5500 xt,2020.2292993630574,1408.0,224.0,1845.0,130.0,6.0,7.0,158.0
rx 5500m,2020.248407643312,1408.0,224.0,1645.0,85.0,6.0,7.0,158.0
rx 560 xt,2020.2675159235669,1792.0,224.0,1226.0,150.0,5.0,14.0,232.0
rx 560x mobile,2020.2866242038217,896.0,112.0,1250.0,65.0,3.0,14.0,123.0
rx 5700,2020.3057324840765,2304.0,448.0,1725.0,180.0,10.0,7.0,251.0
rx 5700 xt,2020.3248407643312,2560.0,448.0,1905.0,225.0,10.0,7.0,251.0
rx 5700 xt 50th anniversary,2020.343949044586,2560.0,448.0,1980.0,225.0,10.0,7.0,251.0
rx 640 mobile,2020.3630573248408,640.0,48.0,1218.0,50.0,2.0,14.0,103.0
rx vega 11,2020.3821656050955,704.0,40.0,1400.0,15.0,4.0,12.0,210.0
rx vega 11 mobile,2020.4012738853503,704.0,40.0,1400.0,15.0,4.0,12.0,210.0
vega 10 mobile,2020.4203821656051,640.0,40.0,1400.0,15.0,4.0,12.0,210.0
vega 10 mobile,2020.43949044586,640.0,40.0,1301.0,10.0,4.0,14.0,210.0
vega 10 mobile,2020.4585987261146,640.0,40.0,1400.0,15.0,4.0,12.0,210.0
vega 11,2020.4777070063694,704.0,40.0,1400.0,15.0,4.0,12.0,210.0
vega 3,2020.4968152866243,192.0,40.0,1100.0,15.0,4.0,12.0,210.0
vega 3 embedded,2020.5159235668789,192.0,40.0,1000.0,10.0,4.0,12.0,210.0
vega 3 embedded,2020.5350318471337,192.0,40.0,1200.0,10.0,4.0,12.0,210.0
vega 3 mobile,2020.5541401273886,192.0,40.0,1001.0,15.0,4.0,12.0,210.0
vega 6 mobile,2020.5732484076434,384.0,40.0,1101.0,15.0,4.0,14.0,210.0
vega 6 mobile,2020.592356687898,384.0,40.0,1200.0,15.0,4.0,12.0,210.0
vega 8,2020.6114649681529,512.0,40.0,1250.0,15.0,4.0,12.0,210.0
vega 8 mobile,2020.6305732484077,512.0,40.0,1101.0,25.0,4.0,14.0,210.0
vega 8 mobile,2020.6496815286623,512.0,40.0,1200.0,15.0,4.0,12.0,210.0
vega 8 mobile,2020.6687898089172,512.0,40.0,1200.0,15.0,4.0,12.0,210.0
vega 9 mobile,2020.687898089172,576.0,40.0,1300.0,15.0,4.0,12.0,210.0
vii,2020.7070063694268,3840.0,1.02,1750.0,295.0,13.0,7.0,331.0
aerobox gpu,2020.7261146496814,896.0,68.22,985.0,100.0,29.0,16.0,154.0
atari vcs 400 gpu,2020.7452229299363,192.0,38.4,1201.0,15.0,29.0,14.0,149.0
atari vcs 800 gpu,2020.7643312101911,192.0,38.4,1201.0,15.0,29.0,14.0,149.0
playstation 5 gpu,2020.783439490446,2304.0,448.0,1250.0,180.0,10.0,7.0,308.0
graphics 320sp mobile,2020.8025477707006,320.0,40.0,1400.0,15.0,9.0,7.0,156.0
graphics 384sp mobile,2020.8216560509554,384.0,40.0,1500.0,15.0,9.0,7.0,156.0
graphics 448sp,2020.8407643312103,448.0,40.0,1900.0,15.0,9.0,7.0,156.0
graphics 448sp mobile,2020.8598726114649,448.0,40.0,1600.0,15.0,9.0,7.0,156.0
graphics 512sp,2020.8789808917197,512.0,40.0,2100.0,15.0,9.0,7.0,156.0
graphics 512sp mobile,2020.8980891719746,512.0,40.0,1750.0,15.0,9.0,7.0,156.0
instinct mi100,2020.9171974522294,7680.0,1.23,1502.0,300.0,25.0,7.0,750.0
pro 5300,2020.936305732484,1280.0,224.0,1650.0,85.0,6.0,7.0,158.0
pro 5500 xt,2020.9554140127389,1536.0,224.0,1757.0,125.0,6.0,7.0,158.0
pro 5600m,2020.9745222929937,2560.0,394.2,1144.0,50.0,29.0,7.0,154.0
pro 5700,2020.9936305732483,2304.0,384.0,1350.0,130.0,10.0,7.0,251.0
pro 5700 xt,2021.0127388535032,2560.0,384.0,1499.0,130.0,10.0,7.0,251.0
pro v520,2021.031847133758,2304.0,512.0,1600.0,225.0,29.0,7.0,154.0
pro vii,2021.0509554140128,3840.0,1.02,1700.0,250.0,13.0,7.0,331.0
pro w5500,2021.0700636942674,1408.0,224.0,1855.0,125.0,6.0,7.0,158.0
pro w5500m,2021.0891719745223,1408.0,224.0,1645.0,85.0,6.0,7.0,158.0
rx 5300 oem,2021.1082802547771,1408.0,168.0,1645.0,100.0,6.0,7.0,158.0
rx 5600 oem,2021.1273885350317,2048.0,288.0,1560.0,125.0,10.0,7.0,251.0
rx 5600 xt,2021.1464968152866,2304.0,288.0,1560.0,150.0,10.0,7.0,251.0
rx 5600m,2021.1656050955414,2304.0,288.0,1265.0,150.0,10.0,7.0,251.0
rx 5700m,2021.1847133757963,2304.0,384.0,1720.0,180.0,10.0,7.0,251.0
rx 590 gme,2021.2038216560509,2304.0,256.0,1420.0,175.0,5.0,14.0,232.0
rx 640 oem,2021.2229299363057,640.0,96.0,1250.0,50.0,2.0,14.0,103.0
rx 6800,2021.2420382165606,3840.0,512.0,2105.0,250.0,26.0,7.0,520.0
rx 6800 xt,2021.2611464968154,4608.0,512.0,2250.0,300.0,26.0,7.0,520.0
rx 6900 xt,2021.28025477707,5120.0,512.0,2250.0,300.0,26.0,7.0,520.0
vega 3 mobile,2021.2993630573249,192.0,40.0,1000.0,15.0,4.0,12.0,210.0
xbox series s gpu,2021.3184713375797,1280.0,224.0,1250.0,100.0,8.0,7.0,197.0
xbox series x gpu,2021.3375796178343,3328.0,560.0,1250.0,200.0,15.0,7.0,360.0
graphics 384sp,2021.3566878980891,384.0,40.0,1700.0,45.0,9.0,7.0,180.0
graphics 384sp mobile,2021.375796178344,384.0,40.0,1600.0,45.0,9.0,7.0,180.0
graphics 448sp,2021.3949044585988,448.0,40.0,1900.0,45.0,9.0,7.0,180.0
graphics 448sp mobile,2021.4140127388534,448.0,40.0,1800.0,25.0,9.0,7.0,156.0
graphics 448sp mobile,2021.4331210191083,448.0,40.0,1800.0,45.0,9.0,7.0,180.0
graphics 512sp,2021.4522292993631,512.0,40.0,2000.0,45.0,9.0,7.0,180.0
graphics 512sp mobile,2021.4713375796177,512.0,40.0,2000.0,45.0,9.0,7.0,180.0
graphics 512sp mobile,2021.4904458598726,512.0,40.0,1900.0,25.0,9.0,7.0,156.0
instinct mi200,2021.5095541401274,6656.0,1.64,1700.0,300.0,58.0,6.0,724.0
instinct mi210,2021.5286624203823,6656.0,1.64,1700.0,300.0,58.0,6.0,724.0
instinct mi250,2021.5477707006369,13312.0,3.28,1700.0,500.0,58.0,6.0,724.0
instinct mi250x,2021.5668789808917,14080.0,3.28,1700.0,500.0,58.0,6.0,724.0
pro v620,2021.5859872611466,4608.0,512.0,2200.0,300.0,26.0,7.0,520.0
pro w6600,2021.6050955414012,1792.0,224.0,2580.0,100.0,11.0,7.0,237.0
pro w6600m,2021.624203821656,1792.0,224.0,2034.0,90.0,11.0,7.0,237.0
pro w6600x,2021.6433121019109,2048.0,256.0,2479.0,120.0,11.0,7.0,237.0
pro w6800,2021.6624203821657,3840.0,512.0,2320.0,250.0,26.0,7.0,520.0
pro w6800x,2021.6815286624203,3840.0,512.0,2087.0,200.0,26.0,7.0,520.0
pro w6800x duo,2021.7006369426751,3840.0,512.0,1967.0,400.0,26.0,7.0,520.0
pro w6900x,2021.71974522293,5120.0,512.0,2171.0,300.0,26.0,7.0,520.0
rx 6600,2021.7388535031846,1792.0,224.0,2491.0,132.0,11.0,7.0,237.0
rx 6600 xt,2021.7579617834394,2048.0,256.0,2589.0,160.0,11.0,7.0,237.0
rx 6600m,2021.7770700636943,1792.0,224.0,2416.0,100.0,11.0,7.0,237.0
rx 6700,2021.7961783439491,2304.0,320.0,2450.0,175.0,17.0,7.0,335.0
rx 6700 xt,2021.8152866242037,2560.0,384.0,2581.0,230.0,17.0,7.0,335.0
rx 6700m,2021.8343949044586,2304.0,320.0,2400.0,135.0,17.0,7.0,335.0
rx 6800m,2021.8535031847134,2560.0,384.0,2390.0,145.0,17.0,7.0,335.0
playstation 5 gpu,2021.8726114649683,2304.0,448.0,1250.0,180.0,10.0,6.0,260.0
610m,2021.8917197452229,128.0,40.0,1900.0,15.0,29.0,6.0,100.0
660m,2021.9108280254777,384.0,40.0,1900.0,40.0,13.0,6.0,208.0
680m,2021.9299363057326,768.0,40.0,2200.0,50.0,13.0,6.0,208.0
graphics 128sp,2021.9490445859872,128.0,40.0,2200.0,15.0,3.0,5.0,264.0
graphics 448sp mobile,2021.968152866242,448.0,40.0,1800.0,45.0,10.0,7.0,180.0
graphics 512sp mobile,2021.9872611464968,512.0,40.0,2000.0,45.0,10.0,7.0,180.0
pro w6300,2022.0063694267517,768.0,64.0,2040.0,25.0,5.0,6.0,107.0
pro w6300m,2022.0254777070063,768.0,64.0,2040.0,25.0,5.0,6.0,107.0
pro w6400,2022.0445859872611,768.0,128.0,2321.0,50.0,5.0,6.0,107.0
rx 6400,2022.063694267516,768.0,128.0,2321.0,53.0,5.0,6.0,107.0
rx 6500 xt,2022.0828025477706,1024.0,143.9,2815.0,107.0,5.0,6.0,107.0
rx 6500m,2022.1019108280254,1024.0,144.0,2400.0,50.0,5.0,6.0,107.0
rx 6600s,2022.1210191082803,1792.0,224.0,2000.0,80.0,11.0,7.0,237.0
rx 6650 xt,2022.1401273885351,2048.0,280.3,2635.0,176.0,11.0,7.0,237.0
rx 6650m,2022.1592356687897,1792.0,224.0,2416.0,120.0,11.0,7.0,237.0
rx 6650m xt,2022.1783439490446,2048.0,256.0,2416.0,120.0,11.0,7.0,237.0
rx 6700s,2022.1974522292994,1792.0,224.0,2000.0,80.0,11.0,7.0,237.0
rx 6750 xt,2022.216560509554,2560.0,432.0,2600.0,250.0,17.0,7.0,335.0
rx 6800s,2022.2356687898089,2048.0,256.0,2100.0,100.0,11.0,7.0,237.0
rx 6850m xt,2022.2547770700637,2560.0,432.0,2581.0,165.0,17.0,7.0,335.0
rx 6950 xt,2022.2738853503186,5120.0,576.0,2310.0,335.0,26.0,7.0,520.0
rx 7900 xt,2022.2929936305732,5376.0,800.0,2394.0,300.0,57.0,5.0,529.0
rx 7900 xtx,2022.312101910828,6144.0,960.0,2498.0,355.0,57.0,5.0,529.0
steam deck gpu,2022.3312101910828,512.0,176.0,1600.0,15.0,2.0,7.0,163.0
610m,2022.3503184713377,128.0,40.0,2200.0,15.0,29.0,5.0,264.0
660m,2022.3694267515923,384.0,40.0,1900.0,40.0,13.0,6.0,208.0
680m,2022.3885350318471,768.0,40.0,2200.0,50.0,13.0,6.0,208.0
740m,2022.407643312102,256.0,40.0,2500.0,15.0,25.0,4.0,178.0
740m,2022.4267515923566,256.0,40.0,2800.0,15.0,25.0,4.0,178.0
760m,2022.4458598726114,512.0,40.0,2599.0,15.0,25.0,4.0,178.0
760m,2022.4649681528663,512.0,40.0,2599.0,15.0,25.0,4.0,178.0
780m,2022.4840764331211,768.0,40.0,2700.0,15.0,25.0,4.0,178.0
780m,2022.5031847133757,768.0,40.0,2700.0,15.0,25.0,4.0,178.0
instinct mi300,2022.5222929936306,14080.0,6.55,1700.0,600.0,153.0,5.0,1017.0
instinct mi300a,2022.5414012738854,19456.0,10.3,2100.0,750.0,153.0,5.0,1017.0
instinct mi300x,2022.56050955414,19456.0,10.3,2100.0,750.0,153.0,5.0,1017.0
instinct mi308x,2022.5796178343949,19456.0,10.3,2100.0,750.0,153.0,5.0,1017.0
pro w7500,2022.5987261146497,1792.0,256.0,1700.0,70.0,13.0,6.0,204.0
pro w7600,2022.6178343949045,2048.0,288.0,2440.0,130.0,13.0,6.0,204.0
pro w7700,2022.6369426751592,3072.0,576.0,2600.0,190.0,28.0,5.0,346.0
pro w7800,2022.656050955414,4480.0,576.0,2525.0,260.0,57.0,5.0,529.0
pro w7800 48 gb,2022.6751592356688,4480.0,864.0,2525.0,281.0,57.0,5.0,529.0
pro w7900,2022.6942675159235,6144.0,864.0,2495.0,295.0,57.0,5.0,529.0
rx 6450m,2022.7133757961783,768.0,128.0,2460.0,50.0,5.0,6.0,107.0
rx 6550m,2022.7324840764331,1024.0,144.0,2840.0,80.0,5.0,6.0,107.0
rx 6550s,2022.751592356688,1024.0,128.0,2400.0,50.0,5.0,6.0,107.0
rx 6600 le,2022.7707006369426,1792.0,224.0,2495.0,132.0,11.0,7.0,237.0
rx 6750 gre 10 gb,2022.7898089171974,2304.0,320.0,2450.0,170.0,17.0,7.0,335.0
rx 6750 gre 12 gb,2022.8089171974523,2560.0,432.0,2581.0,250.0,17.0,7.0,335.0
rx 7600,2022.8280254777071,2048.0,288.0,2655.0,165.0,13.0,6.0,204.0
rx 7600m,2022.8471337579617,1792.0,256.0,2410.0,90.0,13.0,6.0,204.0
rx 7600m xt,2022.8662420382166,2048.0,288.0,2469.0,120.0,13.0,6.0,204.0
rx 7600s,2022.8853503184714,1792.0,256.0,2200.0,75.0,13.0,6.0,204.0
rx 7700 xt,2022.904458598726,3456.0,432.0,2544.0,245.0,28.0,5.0,346.0
rx 7700s,2022.9235668789809,2048.0,288.0,2500.0,100.0,13.0,6.0,204.0
rx 7800 xt,2022.9426751592357,3840.0,624.1,2430.0,263.0,28.0,5.0,346.0
rx 7900 gre,2022.9617834394905,5120.0,576.0,2245.0,260.0,57.0,5.0,529.0
rx 7900m,2022.9808917197452,4608.0,576.0,2090.0,180.0,57.0,5.0,529.0
ryzen z1 extreme gpu,2023.0,768.0,51.2,2700.0,30.0,25.0,4.0,178.0
ryzen z1 gpu,2023.0,256.0,51.2,2500.0,30.0,25.0,4.0,178.0
steam deck oled gpu,2023.1176470588234,512.0,176.0,1600.0,15.0,2.0,6.0,131.0
playstation 5 pro gpu,2023.235294117647,3840.0,576.0,2350.0,232.0,21.0,4.0,279.0
740m,2023.3529411764705,256.0,40.0,2800.0,45.0,20.0,4.0,137.0
760m,2023.4705882352941,512.0,40.0,2599.0,15.0,25.0,4.0,178.0
780m,2023.5882352941176,768.0,40.0,2900.0,15.0,25.0,4.0,178.0
880m,2023.7058823529412,768.0,40.0,2900.0,15.0,34.0,4.0,233.0
890m,2023.8235294117646,1024.0,40.0,2900.0,15.0,34.0,4.0,233.0
instinct mi325x,2023.9411764705883,19456.0,10.3,2100.0,1000.0,153.0,5.0,1017.0
pro v710,2024.0588235294117,3456.0,504.0,2000.0,158.0,28.0,5.0,346.0
rx 7600 xt,2024.1764705882354,2048.0,288.0,2755.0,190.0,13.0,6.0,204.0
rx 7800m,2024.2941176470588,3840.0,432.0,2335.0,180.0,28.0,5.0,346.0
xbox series x 6nm gpu,2024.4117647058824,3328.0,560.0,1250.0,200.0,15.0,6.0,154.0
8040s,2024.5294117647059,1024.0,40.0,2800.0,55.0,29.0,4.0,308.0
8050s,2024.6470588235295,2048.0,40.0,2800.0,55.0,29.0,4.0,308.0
8060s,2024.764705882353,2560.0,40.0,2900.0,55.0,29.0,4.0,308.0
860m,2024.8823529411766,512.0,40.0,3000.0,15.0,29.0,4.0,154.0
ai pro r9700,2025.0,4096.0,644.6,2920.0,300.0,53.0,4.0,357.0
instinct mi350x,2025.0,16384.0,8.19,2200.0,1000.0,153.0,5.0,1017.0
instinct mi355x,2025.0,16384.0,8.19,2400.0,1400.0,153.0,5.0,1017.0
pro w7900d,2025.0,6144.0,864.0,2495.0,295.0,57.0,5.0,529.0
rx 7400,2025.0,1792.0,288.0,2300.0,43.0,13.0,6.0,204.0
rx 7650 gre,2025.0,2048.0,288.0,2695.0,165.0,13.0,6.0,204.0
rx 7700,2025.0,2560.0,622.1,2600.0,200.0,28.0,5.0,346.0
rx 9060,2025.0,1792.0,322.3,2990.0,132.0,29.0,4.0,199.0
rx 9060 xt 16 gb,2025.0,2048.0,322.3,3130.0,160.0,29.0,4.0,199.0
rx 9060 xt 8 gb,2025.0,2048.0,322.3,3130.0,150.0,29.0,4.0,199.0
rx 9070,2025.0,3584.0,644.6,2520.0,220.0,53.0,4.0,357.0
rx 9070 gre,2025.0,3072.0,432.0,2790.0,220.0,53.0,4.0,357.0
rx 9070 gre 16 gb,2025.0,3072.0,576.0,2790.0,220.0,53.0,4.0,357.0
rx 9070 xt,2025.0,4096.0,644.6,2970.0,304.0,53.0,4.0,357.0
ryzen ai z2 extreme gpu,2025.0,1024.0,256.0,2700.0,28.0,34.0,4.0,233.0
ryzen z2 a gpu,2025.0,512.0,102.4,1600.0,15.0,2.0,7.0,163.0
ryzen z2 extreme gpu,2025.0,1024.0,128.0,2700.0,28.0,34.0,4.0,233.0
ryzen z2 go gpu,2025.0,768.0,102.4,2700.0,28.0,13.0,6.0,208.0
ryzen z2 gpu,2025.0,768.0,119.9,2700.0,28.0,25.0,4.0,178.0
all in wonder 9000 pro,2024.955078125,480.0,8.64,1250.0,50.0,36.0,150.0,97.0
all in wonder 9600,2024.91015625,480.0,6.272,1250.0,50.0,60.0,130.0,76.0
all in wonder 9600 pro,2024.865234375,480.0,10.37,1250.0,50.0,60.0,130.0,76.0
all in wonder 9700 pro,2024.8203125,480.0,19.84,1250.0,50.0,110.0,150.0,215.0
all in wonder 9800 pro,2024.775390625,480.0,21.63,1250.0,50.0,117.0,150.0,215.0
all in wonder 9800 se,2024.73046875,480.0,9.504,1250.0,50.0,117.0,150.0,215.0
firegl 9600 t2 128,2024.685546875,480.0,9.504,1250.0,50.0,60.0,130.0,76.0
firegl 9600 t2 64s,2024.640625,480.0,6.496,1250.0,50.0,60.0,130.0,76.0
firegl 9800 x2 256,2024.595703125,480.0,22.4,1250.0,50.0,117.0,150.0,218.0
firegl 9800 x2 256t,2024.55078125,480.0,22.02,1250.0,50.0,117.0,150.0,218.0
mobility firegl t2,2024.505859375,480.0,6.4,1250.0,50.0,76.0,130.0,92.0
mobility,2024.4609375,480.0,2.304,1250.0,50.0,30.0,180.0,115.0
mobility,2024.416015625,480.0,2.304,1250.0,50.0,30.0,180.0,115.0
mobility 7000 igp,2024.37109375,480.0,40.0,1250.0,50.0,30.0,180.0,97.0
mobility 9000 igp,2024.326171875,480.0,40.0,1250.0,50.0,76.0,150.0,92.0
mobility 9000 igp,2024.28125,480.0,40.0,1250.0,50.0,76.0,150.0,92.0
mobility 9000 igp,2024.236328125,480.0,40.0,1250.0,50.0,76.0,150.0,92.0
mobility 9100 igp,2024.19140625,480.0,40.0,1250.0,50.0,76.0,150.0,92.0
mobility 9100 pro igp,2024.146484375,480.0,40.0,1250.0,50.0,76.0,150.0,92.0
mobility 9200,2024.1015625,480.0,14.72,1250.0,50.0,36.0,150.0,81.0
mobility 9200,2024.056640625,480.0,3.2,1250.0,50.0,36.0,150.0,81.0
9100,2024.01171875,480.0,8.0,1250.0,28.0,60.0,150.0,120.0
9100 pci,2023.966796875,480.0,8.0,1250.0,50.0,60.0,150.0,120.0
9200,2023.921875,480.0,6.4,1250.0,28.0,36.0,150.0,98.0
9200 le,2023.876953125,480.0,6.4,1250.0,28.0,36.0,150.0,98.0
9200 pci,2023.83203125,480.0,6.4,1250.0,28.0,36.0,150.0,98.0
9200 pro,2023.787109375,480.0,5.312,1250.0,28.0,36.0,150.0,98.0
9200 se,2023.7421875,480.0,2.656,1250.0,28.0,36.0,150.0,98.0
9200 se pci,2023.697265625,480.0,2.656,1250.0,28.0,36.0,150.0,98.0
9500,2023.65234375,480.0,17.28,1250.0,12.0,110.0,150.0,215.0
9550,2023.607421875,480.0,6.4,1250.0,50.0,60.0,130.0,76.0
9550 se,2023.5625,480.0,3.2,1250.0,50.0,60.0,130.0,76.0
9600,2023.517578125,480.0,6.048,1250.0,12.0,60.0,130.0,76.0
9600 pro,2023.47265625,480.0,9.6,1250.0,18.0,60.0,130.0,76.0
9600 se,2023.427734375,480.0,3.2,1250.0,50.0,60.0,130.0,76.0
9600 tx,2023.3828125,480.0,8.64,1250.0,50.0,110.0,150.0,215.0
9600 xt,2023.337890625,480.0,9.6,1250.0,22.0,60.0,130.0,76.0
9800,2023.29296875,480.0,18.56,1250.0,37.0,117.0,150.0,215.0
9800 pro,2023.248046875,480.0,21.76,1250.0,47.0,117.0,150.0,215.0
9800 pro,2023.203125,480.0,21.76,1250.0,47.0,117.0,150.0,218.0
9800 se,2023.158203125,480.0,9.28,1250.0,50.0,117.0,150.0,215.0
9800 se,2023.11328125,480.0,19.01,1250.0,50.0,117.0,150.0,215.0
9800 xt,2023.068359375,480.0,23.36,1250.0,60.0,117.0,150.0,218.0
9800 xxl,2023.0234375,480.0,21.63,1250.0,50.0,117.0,150.0,218.0
all in wonder 9200,2022.978515625,480.0,6.4,1250.0,50.0,36.0,150.0,98.0
all in wonder 9200 se,2022.93359375,480.0,2.624,1250.0,50.0,36.0,150.0,98.0
all in wonder 9600 xt,2022.888671875,480.0,10.37,1250.0,50.0,60.0,130.0,76.0
all in wonder x800 gt,2022.84375,480.0,15.74,1250.0,50.0,160.0,110.0,240.0
all in wonder x800 xt,2022.798828125,480.0,32.0,1250.0,50.0,160.0,130.0,281.0
firegl v3100,2022.75390625,480.0,3.136,1250.0,50.0,107.0,110.0,74.0
firegl v3200,2022.708984375,480.0,11.2,1250.0,46.0,75.0,130.0,92.0
firegl v5000,2022.6640625,480.0,13.76,1250.0,50.0,120.0,110.0,156.0
firegl v5100,2022.619140625,480.0,22.4,1250.0,50.0,160.0,130.0,289.0
firegl v7100,2022.57421875,480.0,30.4,1250.0,91.0,160.0,130.0,289.0
firegl x3 256,2022.529296875,480.0,29.06,1250.0,57.0,160.0,130.0,281.0
mobility firegl t2e,2022.484375,480.0,7.2,1250.0,50.0,76.0,130.0,92.0
mobility firegl v3100,2022.439453125,480.0,6.4,1250.0,50.0,107.0,110.0,74.0
mobility firegl v3200,2022.39453125,480.0,8.0,1250.0,50.0,75.0,130.0,92.0
mobility 7000,2022.349609375,480.0,1.112,1250.0,50.0,30.0,180.0,115.0
mobility 9500,2022.3046875,480.0,3.04,1250.0,50.0,76.0,130.0,92.0
mobility 9550,2022.259765625,480.0,3.888,1250.0,50.0,76.0,130.0,92.0
mobility 9600,2022.21484375,480.0,3.2,1250.0,50.0,76.0,130.0,92.0
mobility 9600 pro,2022.169921875,480.0,6.4,1250.0,50.0,76.0,130.0,92.0
mobility 9600 pro turbo,2022.125,480.0,7.776,1250.0,50.0,76.0,130.0,92.0
mobility 9700,2022.080078125,480.0,8.8,1250.0,50.0,76.0,130.0,92.0
mobility 9700 se,2022.03515625,480.0,3.2,1250.0,50.0,76.0,130.0,92.0
mobility 9800,2021.990234375,480.0,19.2,1250.0,50.0,160.0,130.0,281.0
mobility x600,2021.9453125,480.0,8.0,1250.0,50.0,75.0,130.0,92.0
mobility x600 se,2021.900390625,480.0,8.0,1250.0,50.0,75.0,130.0,92.0
mobility x800,2021.85546875,480.0,25.6,1250.0,50.0,160.0,130.0,289.0
7000 mac edition,2021.810546875,480.0,2.928,1250.0,23.0,30.0,180.0,80.0
7000 mac edition pci,2021.765625,480.0,2.928,1250.0,23.0,30.0,180.0,80.0
9000 pro mac edition,2021.720703125,480.0,8.8,1250.0,28.0,36.0,150.0,97.0
9250,2021.67578125,480.0,3.2,1250.0,50.0,36.0,150.0,98.0
9250 pci,2021.630859375,480.0,3.2,1250.0,50.0,36.0,150.0,98.0
9800 pro mac edition,2021.5859375,480.0,21.63,1250.0,60.0,117.0,150.0,218.0
9800 xt mac edition,2021.541015625,480.0,23.36,1250.0,60.0,117.0,150.0,218.0
x300,2021.49609375,480.0,6.4,1250.0,36.0,107.0,110.0,74.0
x300 le,2021.451171875,480.0,6.4,1250.0,50.0,107.0,110.0,74.0
x300 se,2021.40625,480.0,3.2,1250.0,30.0,107.0,110.0,74.0
x600,2021.361328125,480.0,8.0,1250.0,36.0,107.0,110.0,74.0
x600 pro,2021.31640625,480.0,9.6,1250.0,36.0,107.0,110.0,74.0
x600 pro,2021.271484375,480.0,9.6,1250.0,36.0,75.0,130.0,92.0
x600 se,2021.2265625,480.0,4.0,1250.0,36.0,107.0,110.0,74.0
x600 xt,2021.181640625,480.0,11.84,1250.0,25.0,75.0,130.0,92.0
x700,2021.13671875,480.0,8.0,1250.0,44.0,120.0,110.0,156.0
x700 agp,2021.091796875,480.0,8.0,1250.0,44.0,120.0,110.0,156.0
